version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time
0.1.0,ccheese3082,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1981,213,190.9029381275177,0.08482766151428223,316.00978660583496,190.9984073638916
0.1.0,ccheese4390,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2856,330,399.166405916214,0.10212039947509766,537.9878466129303,399.2883267402649
0.1.0,ccheese5289,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,3378,380,507.08859157562256,0.14297819137573242,742.5063683986664,507.247385263443
0.1.0,ccheese6568,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,4192,448,778.0590741634369,0.15044736862182617,1123.2393507957458,778.2285027503967
0.1.0,ccheese7893,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,4980,543,1149.1837196350098,0.16962194442749023,1555.05260014534,1149.3787205219269
0.1.0,ccheese8817,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,5542,608,1349.6156623363495,0.1737837791442871,1912.5287647247314,1349.818088054657
0.1.0,ccheese11045,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,7006,786,2114.7713272571564,0.20984721183776855,3026.1932213306427,2115.014690876007
0.1.0,ccheese13171,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,8362,908,3048.633644104004,0.26822376251220703,4372.218323945999,3048.946145057678
0.1.0,ccheese15357,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,9884,1138,3972.4582076072693,0.29452013969421387,6112.53307390213,3972.8013792037964
0.1.0,ccheese17543,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,11112,1223,5281.034818172455,0.29604244232177734,7736.401709794998,5281.388789176941
