version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.6,fpg-poly_0000000020_h1,fabio-ThinkPad,bfs,pq0,,13,0,0.06749415397644043,0.00045299530029296875,0.018128633499145508,0.06834816932678223,42,False
0.1.6,fpg-poly_0000000040_h1,fabio-ThinkPad,bfs,pq0,,22,0,0.14019513130187988,0.0010924339294433594,0.033306121826171875,0.14186954498291016,42,False
0.1.6,socg60,fabio-ThinkPad,bfs,pq0,,17,0,0.1316978931427002,0.0007843971252441406,0.021955251693725586,0.13309621810913086,42,False
0.1.6,socg_fixed60,fabio-ThinkPad,bfs,pq0,,17,0,0.12801051139831543,0.001056671142578125,0.021669387817382812,0.1297016143798828,42,False
0.1.6,srpg_iso_aligned_mc0000088,fabio-ThinkPad,bfs,pq0,,32,2,0.23276591300964355,0.0013308525085449219,0.06737923622131348,0.2347276210784912,42,False
0.1.6,maze_74_50_05_00,fabio-ThinkPad,bfs,pq0,,27,1,0.3426938056945801,0.0013005733489990234,0.03296852111816406,0.34483790397644043,42,False
0.1.6,socg92,fabio-ThinkPad,bfs,pq0,,29,2,0.23372554779052734,0.0012807846069335938,0.0564417839050293,0.23569774627685547,42,False
0.1.6,srpg_octa_mc0000082,fabio-ThinkPad,bfs,pq0,,31,2,0.2245347499847412,0.0013508796691894531,0.060567378997802734,0.22655630111694336,42,False
