version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.5,cheese163,archilles,bfs,pq0,outputs/invisible_points,108,8,1.623572826385498,0.0040242671966552734,0.4856717586517334,1.6286287307739258,1,False
0.1.5,cheese225,archilles,bfs,pq0,outputs/invisible_points,136,8,2.2829179763793945,0.004855632781982422,0.7635681629180908,2.2889158725738525,1,False
0.1.5,cheese271,archilles,bfs,pq0,outputs/invisible_points,166,10,3.13346266746521,0.005947589874267578,1.1198315620422363,3.1407763957977295,1,False
0.1.5,cheese302,archilles,bfs,pq0,outputs/invisible_points,183,15,4.1713550090789795,0.006739377975463867,1.350985050201416,4.179632663726807,1,False
0.1.5,cheese399,archilles,bfs,pq0,outputs/invisible_points,252,19,6.280987739562988,0.008888721466064453,2.537296772003174,6.291792154312134,1,False
0.1.5,cheese528,archilles,bfs,pq0,outputs/invisible_points,311,16,9.423227071762085,0.011275053024291992,3.8344473838806152,9.436978816986084,1,False
0.1.5,cheese617,archilles,bfs,pq0,outputs/invisible_points,382,30,13.41541051864624,0.013878345489501953,5.742625713348389,13.432215690612793,1,False
0.1.5,cheese773,archilles,bfs,pq0,outputs/invisible_points,486,29,19.402299404144287,0.017249584197998047,9.400702238082886,19.423022031784058,1,False
0.1.5,cheese1006,archilles,bfs,pq0,outputs/invisible_points,605,38,31.34878945350647,0.021639585494995117,14.324972152709961,31.374680280685425,1,False
0.1.5,cheese1262,archilles,bfs,pq0,outputs/invisible_points,761,47,48.271031618118286,0.036794424057006836,22.742103099822998,48.31351637840271,1,False
0.1.5,cheese1516,archilles,bfs,pq0,outputs/invisible_points,922,61,66.68759298324585,0.03288149833679199,33.35729217529297,66.72681903839111,1,False
0.1.5,cheese2058,archilles,bfs,pq0,outputs/invisible_points,1244,94,100.20655941963196,0.04562997817993164,59.78097653388977,100.2603690624237,1,False
0.1.5,cheese2527,archilles,bfs,pq0,outputs/invisible_points,1583,125,153.7960982322693,0.05746054649353027,97.03328728675842,153.8637387752533,1,False
0.1.5,cheese3015,archilles,bfs,pq0,outputs/invisible_points,1855,142,215.72827529907227,0.06625127792358398,133.18612360954285,215.8067183494568,1,False
0.1.5,cheese3489,archilles,bfs,pq0,outputs/invisible_points,2141,163,282.6430518627167,0.07599306106567383,175.94806814193726,282.7327835559845,1,False
0.1.5,cheese4951,archilles,bfs,pq0,outputs/invisible_points,3028,221,568.061616897583,0.11009621620178223,354.32668948173523,568.1911971569061,1,False
0.1.5,cheese6044,archilles,bfs,pq0,outputs/invisible_points,3699,285,825.8509030342102,0.13713979721069336,533.3624341487885,826.0117237567902,1,False
0.1.5,cheese7514,archilles,bfs,pq0,outputs/invisible_points,4539,344,1272.0569639205933,0.19415831565856934,808.9752843379974,1272.2813696861267,1,False
