version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time
0.1.1,ccheese142,fabio-ThinkPad,dfs,pq0,,181,32,0.775784969329834,0.0041255950927734375,3.3785839080810547,0.7808516025543213
0.1.1,ccheese194,fabio-ThinkPad,dfs,pq0,,248,64,1.4395902156829834,0.007941961288452148,5.4439897537231445,1.4488632678985596
0.1.1,ccheese234,fabio-ThinkPad,dfs,pq0,,292,62,2.0337812900543213,0.013035774230957031,8.026768922805786,2.0484986305236816
0.1.1,ccheese282,fabio-ThinkPad,dfs,pq0,,354,74,3.399000883102417,0.013136625289916992,11.18583059310913,3.4148426055908203
0.1.1,ccheese372,fabio-ThinkPad,dfs,pq0,,479,104,4.1782965660095215,0.009545564651489258,18.443504095077515,4.190288305282593
