version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.4,srpg_octa_mc0030848,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,11291,847,2096.3839383125305,0.2552464008331299,3451.952789783478,2096.6816279888153,1,False
0.1.4,srpg_octa_mc0001206,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,433,29,7.472132682800293,0.021254777908325195,7.030336856842041,7.50779914855957,1,False
0.1.4,srpg_octa_mc0001693,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,662,58,12.911717891693115,0.018299341201782227,14.745095491409302,12.939523458480835,1,False
0.1.4,srpg_octa_mc0011620,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,4322,304,342.38360691070557,0.18457794189453125,563.4158091545105,342.62562322616577,1,False
0.1.4,srpg_octa_mc0000322,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,122,8,1.2231431007385254,0.002455472946166992,0.7273757457733154,1.2323429584503174,1,False
0.1.4,srpg_octa_mc0000297,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,111,10,1.0268537998199463,0.0024504661560058594,0.610905647277832,1.0309178829193115,1,False
0.1.4,srpg_octa_mc0002605,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,964,50,20.557108640670776,0.045992136001586914,31.638068199157715,20.613218069076538,1,False
0.1.4,srpg_octa_mc0000784,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,356,27,3.845524549484253,0.007371664047241211,4.542047500610352,3.8571722507476807,1,False
0.1.4,srpg_octa_mc0024691,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,9080,565,1649.767721414566,0.19854235649108887,2723.9952795505524,1650.049963235855,1,False
0.1.4,srpg_octa_mc0001647,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,622,49,10.860978841781616,0.011566400527954102,9.702646493911743,10.88302206993103,1,False
0.1.4,srpg_octa_mc0007035,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2717,173,181.33341908454895,0.13195037841796875,362.59175419807434,181.484459400177,1,False
