version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time
0.1.0,ccheese142,fabio-ThinkPad,bfs,pq0,,94,7,1.167640209197998,0.0017642974853515625,0.9398925304412842,1.1699371337890625
0.1.0,ccheese234,fabio-ThinkPad,bfs,pq0,,148,13,2.140211582183838,0.0027153491973876953,1.982414722442627,2.1438519954681396
0.1.0,ccheese282,fabio-ThinkPad,bfs,pq0,,183,22,3.1562395095825195,0.0057315826416015625,2.8632707595825195,3.1630308628082275
0.1.0,ccheese372,fabio-ThinkPad,bfs,pq0,,237,28,4.5641279220581055,0.004625797271728516,4.787484645843506,4.569984674453735
0.1.0,ccheese459,fabio-ThinkPad,bfs,pq0,,284,31,6.479973793029785,0.00568389892578125,6.666544437408447,6.487335205078125
0.1.0,ccheese528,fabio-ThinkPad,bfs,pq0,,331,35,8.395418643951416,0.006512880325317383,9.244291305541992,8.404009342193604
0.1.0,ccheese686,fabio-ThinkPad,bfs,pq0,,430,47,12.275524377822876,0.014933109283447266,13.866559505462646,12.293151140213013
0.1.0,ccheese877,fabio-ThinkPad,bfs,pq0,,569,71,20.853371143341064,0.011705636978149414,26.1078941822052,20.86837100982666
0.1.0,ccheese1125,fabio-ThinkPad,bfs,pq0,,722,72,29.371416807174683,0.020481586456298828,40.660409688949585,29.396830320358276
0.1.0,ccheese1325,fabio-ThinkPad,bfs,pq0,,828,79,38.43540811538696,0.033766984939575195,54.11059260368347,38.47422194480896
0.1.0,ccheese1762,fabio-ThinkPad,bfs,pq0,,1118,127,75.09442830085754,0.036870479583740234,95.98588752746582,75.13754439353943
0.1.0,ccheese2225,fabio-ThinkPad,bfs,pq0,,1416,151,101.8754448890686,0.0876009464263916,156.66307830810547,101.97105193138123
0.1.0,ccheese2643,fabio-ThinkPad,bfs,pq0,,1712,195,142.54192519187927,0.06458115577697754,216.37186694145203,142.61767721176147
0.1.0,ccheese3082,fabio-ThinkPad,bfs,pq0,,1975,213,186.89947032928467,0.06885480880737305,274.25295209884644,186.97980451583862
0.1.0,ccheese4390,fabio-ThinkPad,bfs,pq0,,2809,306,354.212340593338,0.10568809509277344,532.8514924049377,354.3345685005188
0.1.0,ccheese5289,fabio-ThinkPad,bfs,pq0,,3352,362,506.2383887767792,0.13541126251220703,759.3037288188934,506.3895800113678
0.1.0,ccheese6568,fabio-ThinkPad,bfs,pq0,,4185,441,773.9427564144135,0.14453554153442383,1137.682959318161,774.1063897609711
0.1.0,ccheese7893,fabio-ThinkPad,bfs,pq0,,5017,610,1093.107419013977,0.18734216690063477,1589.482635974884,1093.318903684616
0.1.0,ccheese8817,fabio-ThinkPad,bfs,pq0,,5505,604,1390.4217519760132,0.21723675727844238,1901.449693441391,1390.6682131290436
