version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.6,srpg_iso_aligned_mc0000088,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,31,0,0.29325389862060547,0.001667022705078125,0.06230020523071289,0.2958259582519531,1984,False
0.1.6,socg92,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,29,2,0.28415775299072266,0.0011916160583496094,0.04926133155822754,0.2863485813140869,1984,False
0.1.6,srpg_octa_mc0000082,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,29,2,0.26480817794799805,0.0016009807586669922,0.04810190200805664,0.26729440689086914,1984,False
0.1.6,maze_74_50_05_00,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,26,1,0.3698265552520752,0.0006463527679443359,0.05007028579711914,0.37118983268737793,1984,False
0.1.6,srpg_iso_mc0000266,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,126,8,1.1280980110168457,0.0028214454650878906,0.735938549041748,1.1321215629577637,1984,False
0.1.6,srpg_iso_mc0000261,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,120,4,1.0736644268035889,0.00351715087890625,0.6932671070098877,1.0783038139343262,1984,False
0.1.6,ccheese142,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,92,5,1.4613370895385742,0.0030660629272460938,0.4653921127319336,1.4655098915100098,1984,False
0.1.6,srpg_iso_aligned_mc0000286,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,109,4,1.1688129901885986,0.004860639572143555,0.6154251098632812,1.1754333972930908,1984,False
0.1.6,srpg_iso_aligned_mc0000451,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,180,16,1.9115636348724365,0.007977724075317383,1.420861005783081,1.921461582183838,1984,False
0.1.6,ccheese194,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,120,7,1.9755656719207764,0.006235837936401367,0.7182128429412842,1.9836804866790771,1984,False
0.1.6,ccheese234,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,156,14,2.8851702213287354,0.005101203918457031,1.0765001773834229,2.8922972679138184,1984,False
0.1.6,srpg_iso_aligned_mc0000624,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,244,20,3.0181713104248047,0.010341405868530273,2.2336835861206055,3.0310745239257812,1984,False
0.1.6,srpg_iso_aligned_mc0000609,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,274,26,3.0357797145843506,0.005380392074584961,2.632234811782837,3.043073892593384,1984,False
0.1.6,ccheese282,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,176,16,3.1932380199432373,0.00434112548828125,1.3288764953613281,3.199411153793335,1984,False
0.1.6,ccheese372,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,245,23,5.432973623275757,0.006308078765869141,2.3108155727386475,5.441788911819458,1984,False
0.1.6,srpg_iso_mc0000946,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,427,34,7.051098585128784,0.021343708038330078,6.594701290130615,7.075895309448242,1984,False
0.1.6,srpg_iso_aligned_mc0001336,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,527,38,8.995869159698486,0.010496377944946289,8.740694999694824,9.011912822723389,1984,False
0.1.6,ccheese459,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,287,22,6.541151523590088,0.010038375854492188,2.696281909942627,6.555322170257568,1984,False
0.1.6,fpg-poly_0000000800_h7,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,587,30,10.70408844947815,0.012181282043457031,11.172717571258545,10.721456289291382,1984,False
0.1.6,srpg_iso_aligned_mc0001258,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,548,44,9.382649660110474,0.021921157836914062,10.08333706855774,9.41024923324585,1984,False
0.1.6,ccheese528,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,336,23,8.59451413154602,0.0070209503173828125,3.5653529167175293,8.607528924942017,1984,False
0.1.6,srpg_iso_mc0001463,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,712,46,13.759752750396729,0.022862911224365234,15.332145929336548,13.790343523025513,1984,False
0.1.6,fpg-poly_0000001300_h7,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,737,25,13.645168781280518,0.02762293815612793,17.935889720916748,13.681297540664673,1984,False
0.1.6,ccheese686,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,437,31,13.543265581130981,0.0197904109954834,6.683835744857788,13.569330930709839,1984,False
0.1.6,srpg_iso_mc0001964,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,935,75,15.851623058319092,0.030298709869384766,27.212363243103027,15.891031980514526,1984,False
0.1.6,ccheese877,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,554,42,20.580981254577637,0.014554977416992188,9.389005422592163,20.60236930847168,1984,False
0.1.6,srpg_iso_mc0002462,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1215,81,23.651004314422607,0.04019761085510254,44.34823727607727,23.699561834335327,1984,False
0.1.6,ccheese1125,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,727,54,30.635924339294434,0.02482914924621582,16.292780876159668,30.670756578445435,1984,False
0.1.6,ccheese1325,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,826,55,48.030787229537964,0.031507015228271484,22.96245288848877,48.07312560081482,1984,False
0.1.6,srpg_iso_aligned_mc0003255,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1355,123,41.98392462730408,0.04782557487487793,55.00626015663147,42.04239583015442,1984,False
0.1.6,srpg_iso_aligned_mc0003883,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1630,121,49.37286162376404,0.04485893249511719,82.31215620040894,49.43160700798035,1984,False
0.1.6,ccheese1762,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1116,79,71.13561153411865,0.03999829292297363,39.03652095794678,71.18946719169617,1984,False
0.1.6,fpg-poly_0000004900_h2,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2427,110,86.01727151870728,0.09351253509521484,164.6501967906952,86.12711501121521,1984,False
0.1.6,ccheese2225,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1402,92,101.94647145271301,0.06097221374511719,64.27342057228088,102.02205157279968,1984,False
0.1.6,srpg_smo_mc0005962,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2114,113,118.78228497505188,0.11452651023864746,156.67363595962524,118.95212292671204,1984,False
0.1.6,srpg_smr_mc0006333,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2676,73,116.84837198257446,0.12185502052307129,215.9156322479248,116.98983120918274,1984,False
0.1.6,ccheese2643,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1705,137,167.7600769996643,0.14578461647033691,102.78284788131714,167.92146611213684,1984,False
0.1.6,srpg_iso_aligned_mc0006138,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,2549,241,146.65365481376648,0.14156413078308105,208.991539478302,146.8169949054718,1984,False
0.1.6,ccheese3082,fabio-ThinkPad,bfs,pq0,outputs/invisible_points,1981,156,205.11363101005554,0.12144899368286133,113.36075091362,205.25413703918457,1984,False
