instance;num_external_nodes;num_holes;lowerbound;solution_size;upperbound2;upperbound1
cheese9051;30;1997;186;4795;8018;15081
srpg_iso_mc0000946;930;1;246;376;475;1576
maze_84_50_05_01;8;15;16;26;63;110
cheese528;17;111;117;280;454;876
ccheese6568;17;1665;180;3664;6558;10943
srpg_mc0000506;500;1;100;187;290;843
srpg_iso_mc0001964;1838;1;64;810;984;3273
fpg-poly_0000000040_h1;40;1;11;19;24;71
srpg_iso_mc0015281;12592;14;164;6736;7675;25490
srpg_iso_aligned_mc0000088;86;1;18;25;46;146
srpg_iso_aligned_mc0003883;3790;2;76;1408;1946;6473
srpg_octa_mc0024691;23726;17;244;8096;13815;41150
srpg_smr_mc0015995;14784;4;102;5359;8138;26663
maze_39929_750_025_001;8;7984;214;8722;31937;53236
srpg_iso_mc0000266;254;1;74;108;135;443
maze_74_50_05_00;8;13;13;22;54;96
srpg_iso_aligned_mc0010085;9386;36;335;3508;5132;16866
srpg_iso_aligned_mc0000609;596;2;115;201;309;1016
maze_124_50_01_001;8;23;13;18;95;163
srpg_mc0001937;1591;15;185;769;1007;3251
