instance,num_nodes,num_holes,shapely_load_time,sampling_method,machine,version,sampling_time,graph_creation_time,graph_nodes,graph_edges,graph_solving_time,num_invisible_points,total_time
inputs/competition_instances/ccheese142.instance.json,13,33,0.07712411880493164,midpoint,fabio-ThinkPad,0.1.1,0.013945579528808594,5.286368370056152,142,1035,31.200475215911865,35,36.58019137382507
inputs/competition_instances/ccheese194.instance.json,12,44,0.07882857322692871,midpoint,fabio-ThinkPad,0.1.1,0.02452707290649414,12.075993537902832,194,1878,48.673651456832886,44,60.855170011520386
inputs/competition_instances/ccheese234.instance.json,16,55,0.09157586097717285,midpoint,fabio-ThinkPad,0.1.1,0.029447555541992188,20.244628190994263,234,2031,35.33541703224182,56,55.703391313552856
inputs/competition_instances/ccheese282.instance.json,19,67,0.10257244110107422,midpoint,fabio-ThinkPad,0.1.1,0.03777956962585449,31.136389017105103,282,2708,38.782108783721924,67,70.06104779243469
inputs/competition_instances/ccheese372.instance.json,16,89,0.12416815757751465,midpoint,fabio-ThinkPad,0.1.1,0.017632007598876953,66.9266517162323,372,3973,48.38373517990112,80,115.45427107810974
inputs/competition_instances/ccheese459.instance.json,15,111,0.13891816139221191,midpoint,fabio-ThinkPad,0.1.1,0.021290302276611328,103.82636332511902,459,4991,47.6595184803009,101,151.6480414867401
inputs/competition_instances/cheese528.instance.json,18,111,0.1460418701171875,midpoint,fabio-ThinkPad,0.1.1,0.0280611515045166,146.79540610313416,528,6000,57.70702815055847,117,204.678551197052
inputs/competition_instances/ccheese686.instance.json,22,167,0.1646113395690918,midpoint,fabio-ThinkPad,0.1.1,0.031847238540649414,299.00848412513733,686,8099,57.47420024871826,150,356.68117356300354
inputs/competition_instances/ccheese877.instance.json,18,221,0.23530101776123047,midpoint,fabio-ThinkPad,0.1.1,0.04210925102233887,620.7187461853027,877,11230,79.88538002967834,180,700.8837475776672
