Instance,num_splits,split_time,art_gallery_time,total_time,num_guards
fpg-poly_0000004900_h2,3,5.489148855209351,103.07028365135193,108.55943250656128,849
fpg-poly_0000000020_h1,0,0.1253654956817627,0.038077592849731445,0.16344308853149414,3
fpg-poly_0000000020_h2,0,0.12903046607971191,0.053800106048583984,0.1828305721282959,5
fpg-poly_0000000040_h1,0,0.12592816352844238,0.058818817138671875,0.18474698066711426,8
fpg-poly_0000000070_h2,0,0.1275324821472168,0.21049976348876953,0.33803224563598633,14
fpg-poly_0000000400_h2,0,0.13120079040527344,1093.0553450584412,1093.1865458488464,77
fpg-poly_0000000800_h7,2,0.6345062255859375,81.67473769187927,82.30924391746521,224
fpg-poly_0000001300_h7,3,2.1401772499084473,8.532836198806763,10.67301344871521,286
fpg-poly_0000008100_h6,6,28.67727017402649,45.77790307998657,74.45517325401306,1931
fpg-poly_0000009600_h8,7,42.53787970542908,232.926518201828,275.4643979072571,2595
fpg-poly_0000050000_h9,10,244.6445393562317,172.84983897209167,417.49437832832336,10738
maze_74_50_05_00,0,0.14550328254699707,359.6988151073456,359.8443183898926,8
maze_79_50_05_005,0,0.14255356788635254,5.058514356613159,5.201067924499512,7
maze_84_50_05_01,1,0.2030785083770752,1.1412482261657715,1.3443267345428467,13
maze_109_50_025_00,1,0.21736741065979004,1.3216168880462646,1.5389842987060547,15
maze_124_50_01_001,1,0.2250964641571045,1.2932746410369873,1.5183711051940918,14
maze_124_50_01_005,2,0.3052349090576172,0.38619446754455566,0.6914293766021729,21
maze_124_50_025_01,3,0.5210361480712891,0.20218610763549805,0.7232222557067871,22
maze_134_50_01_01,4,0.8517534732818604,0.21373772621154785,1.0654911994934082,49
maze_154_50_001_001,4,0.7259364128112793,0.1808791160583496,0.9068155288696289,50
maze_164_50_001_01,4,0.7490055561065674,0.20499849319458008,0.9540040493011475,47
maze_184_50_001_005,4,0.9161956310272217,0.3912014961242676,1.3073971271514893,57
maze_2514_250_05_001,6,3.5051848888397217,421.07190227508545,424.57708716392517,376
maze_2534_250_05_01,7,6.305636405944824,8.112232208251953,14.417868614196777,577
maze_2604_250_05_00,7,6.423633098602295,14.07819390296936,20.501827001571655,531
maze_3329_250_025_001,7,7.032340049743652,20.00660753250122,27.038947582244873,643
maze_3564_250_025_005,7,6.73676323890686,27.89383101463318,34.63059425354004,679
maze_3634_250_025_01,7,6.565613508224487,49.25146222114563,55.81707572937012,724
maze_3969_250_01_01,7,6.7827513217926025,31.29729986190796,38.08005118370056,839
maze_4169_250_025_00,7,6.804793834686279,26.456834077835083,33.26162791252136,679
ccheese194,3,0.5962145328521729,1.7138848304748535,2.3100993633270264,54
ccheese234,3,0.5319762229919434,5.006355047225952,5.5383312702178955,63
ccheese282,3,0.591130256652832,21.78870725631714,22.37983751296997,69
ccheese372,3,0.567272424697876,305.4311683177948,305.9984407424927,78
ccheese459,4,1.093120813369751,6.745626211166382,7.838747024536133,122
ccheese528,4,1.1245839595794678,31.296693801879883,32.42127776145935,105
ccheese686,4,1.1506953239440918,294.1993942260742,295.3500895500183,143
ccheese877,5,1.9587843418121338,16.473422527313232,18.432206869125366,231
ccheese1125,5,1.984642744064331,163.66919779777527,165.6538405418396,284
ccheese1325,6,3.938718795776367,10.810786962509155,14.749505758285522,391
ccheese1762,6,4.379098892211914,801.2763047218323,805.6554036140442,479
ccheese2225,7,7.837676048278809,73.94279384613037,81.78046989440918,759
ccheese2643,7,7.660330533981323,28.2710382938385,35.931368827819824,783
ccheese3082,7,8.108093500137329,2006.0574505329132,2014.1655440330505,901
ccheese4390,7,8.086790084838867,9798.460352897644,9806.547142982483,1122
ccheese5289,8,15.654436111450195,68.56182789802551,84.21626400947571,1615
ccheese6568,8,17.146172523498535,127.27051782608032,144.41669034957886,1825
ccheese7893,8,17.796611785888672,1544.9461596012115,1562.7427713871002,NA
ccheese8817,9,29.809358596801758,66.96117115020752,96.77052974700928,2933
ccheese87712,4,27.77243399620056,NA,NA,NA
socg60,0,0.1263413429260254,0.08293557167053223,0.20927691459655762,4
socg92,0,0.11866521835327148,0.19786334037780762,0.3165285587310791,8
socg_fixed60,0,0.1202383041381836,0.08811402320861816,0.20835232734680176,4
socg_fixed92,0,0.1222538948059082,0.21225666999816895,0.33451056480407715,9
srpg_iso_aligned_mc0000088,0,0.13567447662353516,0.41815733909606934,0.5538318157196045,13
srpg_iso_aligned_mc0000286,0,0.12192368507385254,5.811114311218262,5.933037996292114,40
srpg_iso_aligned_mc0000451,0,0.1292409896850586,10.072730302810669,10.201971292495728,56
srpg_iso_aligned_mc0000609,1,0.3373243808746338,134.3401803970337,134.67750477790833,NA
srpg_iso_aligned_mc0000624,1,0.5126175880432129,14.510039329528809,15.022656917572021,101
srpg_iso_aligned_mc0001258,2,0.6771714687347412,16.050690174102783,16.727861642837524,108
srpg_iso_aligned_mc0001336,2,1.9492690563201904,9.398336410522461,11.347605466842651,NA
srpg_iso_aligned_mc0003255,4,7.140662670135498,15.598857641220093,22.73952031135559,NA
srpg_iso_aligned_mc0003883,4,3.8431334495544434,64.31683135032654,68.15996479988098,NA
srpg_iso_aligned_mc0006138,5,11.012570142745972,29.137707948684692,40.150278091430664,NA
srpg_iso_aligned_mc0010085,5,22.88248038291931,34.02752327919006,56.910003662109375,1364
srpg_iso_aligned_mc0015285,6,15.716871976852417,204.15969467163086,219.87656664848328,NA
srpg_iso_aligned_mc0067791,8,111.82512044906616,204.8539915084839,316.67911195755005,NA
