version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.8,srpg_iso_aligned_mc0000609,kaspar-Aspire-F5-573,bfs,pq0,guards,285,53,2.854189872741699,0.013325214385986328,2.4168121814727783,2.869654655456543,1,False
0.1.8,srpg_iso_aligned_mc0000624,kaspar-Aspire-F5-573,bfs,pq0,guards,252,42,2.3825721740722656,0.004644870758056641,1.6521704196929932,2.3883912563323975,1,False
0.1.8,srpg_iso_aligned_mc0001258,kaspar-Aspire-F5-573,bfs,pq0,guards,558,75,7.058290004730225,0.01117253303527832,7.918858051300049,7.071530342102051,1,False
0.1.8,srpg_iso_aligned_mc0001336,kaspar-Aspire-F5-573,bfs,pq0,guards,534,63,8.003556728363037,0.009530305862426758,7.169213771820068,8.015836715698242,1,False
0.1.8,srpg_iso_aligned_mc0003255,kaspar-Aspire-F5-573,bfs,pq0,guards,1359,213,49.60474705696106,0.027668237686157227,45.11049509048462,49.63781976699829,1,False
0.1.8,srpg_iso_aligned_mc0003883,kaspar-Aspire-F5-573,bfs,pq0,guards,1652,244,57.940648317337036,0.03532767295837402,66.77670288085938,57.98310947418213,1,False
0.1.8,srpg_iso_aligned_mc0006138,kaspar-Aspire-F5-573,bfs,pq0,guards,2519,366,171.17935013771057,0.053145647048950195,157.65854239463806,171.24148225784302,1,False
0.1.8,srpg_iso_aligned_mc0010085,kaspar-Aspire-F5-573,bfs,pq0,guards,4098,651,385.4124848842621,0.08214306831359863,410.09316635131836,385.51018953323364,1,False
0.1.8,srpg_iso_aligned_mc0015285,kaspar-Aspire-F5-573,bfs,pq0,guards,,,,,,,1,False
