version,instance,machine,search_method,triangulation_opts,initial_solution_id,solution_size,overlapping_polygons,cover_time,solution_time,overlapping_polygons_time,total_time,seed,enable_scaling
0.1.8,ccheese194,kaspar-Aspire-F5-573,bfs,pq0,guards,129,21,1.5626883506774902,0.0028717517852783203,0.47678232192993164,1.5663902759552002,1,False
0.1.8,ccheese234,kaspar-Aspire-F5-573,bfs,pq0,guards,145,11,1.8508098125457764,0.0031363964080810547,0.5991556644439697,1.8550121784210205,1,False
0.1.8,ccheese282,kaspar-Aspire-F5-573,bfs,pq0,guards,176,18,2.704280376434326,0.0037479400634765625,0.8841214179992676,2.709707498550415,1,False
0.1.8,ccheese372,kaspar-Aspire-F5-573,bfs,pq0,guards,234,24,4.0120460987091064,0.004924297332763672,1.5489180088043213,4.018274307250977,1,False
0.1.8,ccheese459,kaspar-Aspire-F5-573,bfs,pq0,guards,288,39,5.895723819732666,0.0061244964599609375,2.2710354328155518,5.903458833694458,1,False
0.1.8,ccheese528,kaspar-Aspire-F5-573,bfs,pq0,guards,345,54,7.427411079406738,0.007421970367431641,3.1446757316589355,7.436761856079102,1,False
0.1.8,ccheese686,kaspar-Aspire-F5-573,bfs,pq0,guards,430,52,11.316142559051514,0.009921073913574219,5.059191942214966,11.329272985458374,1,False
0.1.8,ccheese877,kaspar-Aspire-F5-573,bfs,pq0,guards,555,73,18.67827558517456,0.013988494873046875,8.242389678955078,18.695983171463013,1,False
0.1.8,ccheese1125,kaspar-Aspire-F5-573,bfs,pq0,guards,731,95,29.27735733985901,0.01689004898071289,14.025375127792358,29.29802393913269,1,False
0.1.8,ccheese1325,kaspar-Aspire-F5-573,bfs,pq0,guards,831,90,40.77136731147766,0.0192410945892334,18.440863132476807,40.79506278038025,1,False
0.1.8,ccheese1762,kaspar-Aspire-F5-573,bfs,pq0,guards,1118,127,70.03902316093445,0.028712987899780273,33.10014247894287,70.07418918609619,1,False
0.1.8,ccheese2225,kaspar-Aspire-F5-573,bfs,pq0,guards,1400,155,109.9387891292572,0.0620274543762207,53.06670022010803,110.00801968574524,1,False
0.1.8,ccheese2643,kaspar-Aspire-F5-573,bfs,pq0,guards,1690,208,154.50210452079773,0.042317867279052734,77.37883305549622,154.5531678199768,1,False
0.1.8,ccheese3082,kaspar-Aspire-F5-573,bfs,pq0,guards,1973,240,207.82036590576172,0.0534825325012207,104.54925441741943,207.88390278816223,1,False
